ID Centro comercial,tipoCenCom,nom_CenCom,cod_postal
alCOYYPACL16020.0,CENTRO Y PLAZA COMERCIAL,arenal,16020.0
nnEOCLYYDESS5109.0,EDIFICIO COMERCIAL Y DE SERVICIOS,,5109.0
PADELATAEOCLYYDESS6010.0,EDIFICIO COMERCIAL Y DE SERVICIOS,PLAZA DE LA TECNOLOGIA,6010.0
PA55DEFOCOYYPACL6090.0,CENTRO Y PLAZA COMERCIAL,PLAZA 5 DE FEBRERO,6090.0
PACLELPOCOYYPACL9810.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL EL PUEBLITO,9810.0
SNNEOOCOnan,OTRO CONGLOMERADO,SIN NOMBRE,
CDMNDDnnnan,,COMUNIDAD MAGUEN DAVID,
TAMISRnnnan,,TIENDA MINI SUPER,
ZAEOCLYYDESS5348.0,EDIFICIO COMERCIAL Y DE SERVICIOS,ZENTRIKA,5348.0
IRDLMOJNPEYYARCL11850.0,PASAJE Y ANDADOR COMERCIAL,INTERIOR DEL METRO JUANACATLAN,11850.0
CLDEASNECLCA7760.0,CENTRAL CAMIONERA,CENTRAL DE AUTOBUSES NORTE,7760.0
CLDEASDLNECLCA7760.0,CENTRAL CAMIONERA,CENTAL DE AUTOBUSES DEL NORTE,7760.0
PACLRLDECNSNCOYYPACL4600.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL REAL DE COYOACAN SN,4600.0
PACLLSGSCOYYPACL4920.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL LOS GIRASOLES,4920.0
COCLPALSCOYYPACL5120.0,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL PLAZA LILAS,5120.0
COCLPEPOCOYYPACL11520.0,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL PARQUE POLANCO,11520.0
nnnn4290.0,,,4290.0
PACLSNNECOYYPACL4850.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL SIN NOMBRE,4850.0
WLMTAOCOYYPACL2770.0,CENTRO Y PLAZA COMERCIAL,WAL MART AZCAPOTZALCO,2770.0
PACLELYICOYYPACL5200.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL EL YANQUI,5200.0
PACLSNNECOYYPACL4890.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL SIN NOMBRE,4890.0
PACLSNNECOYYPACL4530.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL SIN NOMBRE,4530.0
nnnn13266.0,,,13266.0
PACLTSLACOYYPACL7700.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL TORRES LINDAVISTA,7700.0
CAOOCO11560.0,OTRO CONGLOMERADO,COLONIA,11560.0
PARA22COYYPACL6600.0,CENTRO Y PLAZA COMERCIAL,PLAZA REFORMA 222,6600.0
COCLMIPOnnnan,,CENTRO COMERCIAL METROPOLI PATRIOTISMO,
UDACCSSROOCO1780.0,OTRO CONGLOMERADO,UNIVERSIDAD ANAHUAC CAMPUS SUR,1780.0
AOILBOJZTL11AO15620.0,AEROPUERTO,AEROPUERTO INTERNACIONAL BENITO JUAREZ TERMINAL 1,15620.0
nnnn1248.0,,,1248.0
PELAOOCOnan,OTRO CONGLOMERADO,PARQUE LINDAVISTA,
COCLSAFÉCOYYPACLnan,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL SANTA FÉ,
S0COYYPACL1210.0,CENTRO Y PLAZA COMERCIAL,SB20,1210.0
"PASNJOT,BROOPA1000.0","TIANGUIS, BAZAR O PULGA",PLAZA SAN JANCITO,1000.0
HLFRSNOOCO6600.0,OTRO CONGLOMERADO,HOTEL FOUR SEASON,6600.0
nnnn11569.0,,,11569.0
PABRCOYYPACL1090.0,CENTRO Y PLAZA COMERCIAL,PLAZA BAZAR,1090.0
nnnn5404.0,,,5404.0
COCLOTLAVACOYYPACL8220.0,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL OUTLET LA VIGA,8220.0
COYYPACLSNNECOYYPACL11220.0,CENTRO Y PLAZA COMERCIAL,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,11220.0
COYYPACLSNNECOYYPACL11200.0,CENTRO Y PLAZA COMERCIAL,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,11200.0
nnnn3319.0,,,3319.0
PACOCOYYPACL14060.0,CENTRO Y PLAZA COMERCIAL,PLAZA CUICULCO,14060.0
FAPEYYARCL6600.0,PASAJE Y ANDADOR COMERCIAL,FLORENCIA,6600.0
nnnn2255.0,,,2255.0
nnEOCLYYDESS14260.0,EDIFICIO COMERCIAL Y DE SERVICIOS,,14260.0
nnPEYYARCL5000.0,PASAJE Y ANDADOR COMERCIAL,,5000.0
nnEOCLYYDESS5200.0,EDIFICIO COMERCIAL Y DE SERVICIOS,,5200.0
nnEOCLYYDESS10640.0,EDIFICIO COMERCIAL Y DE SERVICIOS,,10640.0
POSAFEOOCO1120.0,OTRO CONGLOMERADO,PATIO SANTA FE,1120.0
PACICOYYPACL11500.0,CENTRO Y PLAZA COMERCIAL,PLAZA CHEDRAUI,11500.0
PACLPEYYARCL9040.0,PASAJE Y ANDADOR COMERCIAL,PLAZA CENTRAL,9040.0
COCLEOFACOYYPACL7760.0,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL ENCUENTRO FORTUNA,7760.0
CO13EOCLYYDESS6760.0,EDIFICIO COMERCIAL Y DE SERVICIOS,CHILPANCINGO 133,6760.0
nnnn7841.0,,,7841.0
COYYPACLSNNECOYYPACL11540.0,CENTRO Y PLAZA COMERCIAL,CENTRO Y PLAZA COMERCIAL SIN NOMBRE,11540.0
CLCADLSRGLVEGOCLCAnan,CENTRAL CAMIONERA,CENTRAL CAMIONERA DEL SUR GENERAL VICENTE GURRERO,
PEAOEOCLYYDESS6350.0,EDIFICIO COMERCIAL Y DE SERVICIOS,PUENTE ALVARADO,6350.0
23EOCLYYDESSnan,EDIFICIO COMERCIAL Y DE SERVICIOS,203,
HOEOCLYYDESS6600.0,EDIFICIO COMERCIAL Y DE SERVICIOS,HAMBURGO,6600.0
AACOYYPACL3020.0,CENTRO Y PLAZA COMERCIAL,ANTARA,3020.0
PACLGMCOYYPACL6350.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL GRANFORUM,6350.0
PAMACOYYPACL11520.0,CENTRO Y PLAZA COMERCIAL,PLAZA MIYANA,11520.0
PACOYYPACL9040.0,CENTRO Y PLAZA COMERCIAL,PLAZA,9040.0
COCLEAEOCLYYDESS11000.0,EDIFICIO COMERCIAL Y DE SERVICIOS,CENTRO COMERCIAL EXPLANADA,11000.0
EOCLYYDESSSNNEEOCLYYDESS3630.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,3630.0
PAALPEYYARCL8400.0,PASAJE Y ANDADOR COMERCIAL,PLAZA AÑIL,8400.0
GACOYYPACL15530.0,CENTRO Y PLAZA COMERCIAL,GALAXIA,15530.0
LAPDEOCLYYDESS6720.0,EDIFICIO COMERCIAL Y DE SERVICIOS,LA PIEDAD,6720.0
PACLCACOYYPACL5000.0,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL CUAJIMALPA,5000.0
EOIS44EOCLYYDESS6760.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO INSURGENTES 444,6760.0
EL29DELICOYYPACL6020.0,CENTRO Y PLAZA COMERCIAL,EL 29 DE LECUMBERRI,6020.0
MOJZMOPO2080.0,MERCADO PUBLICO,MERCADO JUAREZ,2080.0
nnnn7457.0,,,7457.0
EOSNNEEOCLYYDESS16600.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO SIN NOMBRE,16600.0
PAOICOYYPACL6020.0,CENTRO Y PLAZA COMERCIAL,PLAZA OGGI,6020.0
8AEOCLYYDESS14330.0,EDIFICIO COMERCIAL Y DE SERVICIOS,8A,14330.0
nnnn16515.0,,,16515.0
nnnn12130.0,,,12130.0
EOCLYYDESSSNNEEOCLYYDESS4260.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,4260.0
PACRCOYYPACL6000.0,CENTRO Y PLAZA COMERCIAL,PLAZA CESAR,6000.0
KS29EOCLYYDESS3810.0,EDIFICIO COMERCIAL Y DE SERVICIOS,KANSAS 209,3810.0
PEFAPEYYARCL6200.0,PASAJE Y ANDADOR COMERCIAL,PASAJE FLORIDA,6200.0
PAEACOYYPACL14330.0,CENTRO Y PLAZA COMERCIAL,PLAZA ESMERALDA,14330.0
EON5EOCLYYDESS6000.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO NO.35,6000.0
MOPOPONLMOPOnan,MERCADO PUBLICO,MERCADO PUBLICO PROGRESO NACIONAL,
OOCOSNNEMOPO7300.0,MERCADO PUBLICO,OTRO CONGLOMERADO SIN NOMBRE,7300.0
COSNNEOOCO6020.0,OTRO CONGLOMERADO,CONGLOMERADO SIN NOMBRE,6020.0
PABRSNJOEOCLYYDESS1090.0,EDIFICIO COMERCIAL Y DE SERVICIOS,PLAZA BAZAR SAN JERONIMO,1090.0
PALAHACOYYPACL10300.0,CENTRO Y PLAZA COMERCIAL,PLAZA LA HACIENDA,10300.0
CNMLDOPEYYARCL6020.0,PASAJE Y ANDADOR COMERCIAL,CALLEJON MANUEL DOBLADO,6020.0
PADSCOYYPACL6020.0,CENTRO Y PLAZA COMERCIAL,PLAZA DAMAS,6020.0
PASNNECOYYPACL6200.0,CENTRO Y PLAZA COMERCIAL,PLAZA SIN NOMBRE,6200.0
COYYPACLCOYYPACL6200.0,CENTRO Y PLAZA COMERCIAL,CENTRO Y PLAZA COMERCIAL,6200.0
VAVOCOYYPACL2610.0,CENTRO Y PLAZA COMERCIAL,VIA VALLEJO,2610.0
PAEACOYYPACL6020.0,CENTRO Y PLAZA COMERCIAL,PLAZA ESTRELLA,6020.0
EOEOCLYYDESS6020.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO,6020.0
GLMOEO78EOCLYYDESS11590.0,EDIFICIO COMERCIAL Y DE SERVICIOS,GENERAL MARIANO ESCOBEDO 748,11590.0
CAPEYYARCL6600.0,PASAJE Y ANDADOR COMERCIAL,CERRADA,6600.0
OTLAVAPEYYARCL8930.0,PASAJE Y ANDADOR COMERCIAL,OUTLET LA VIGA,8930.0
MA31EOCLYYDESS3300.0,EDIFICIO COMERCIAL Y DE SERVICIOS,MONROVIA 301,3300.0
EOGOEOCLYYDESS9868.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO GUERRERO,9868.0
nnnn7459.0,,,7459.0
COCOYYPACL6890.0,CENTRO Y PLAZA COMERCIAL,CHABACANO,6890.0
MOPLZ1MOPO3410.0,MERCADO PUBLICO,MERCADO POSTAL ZONA111,3410.0
EOSNNEEOCLYYDESS4260.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO SIN NOMBRE,4260.0
PAPEDACOYYPACL3020.0,CENTRO Y PLAZA COMERCIAL,PLAZA PARQUE DELTA,3020.0
GSISCOYYPACL3210.0,CENTRO Y PLAZA COMERCIAL,GALERIAS INSURGENTES,3210.0
PAPELACOYYPACL7760.0,CENTRO Y PLAZA COMERCIAL,PLAZA PARQUE LINDAVISTA,7760.0
SAFECOYYPACL1210.0,CENTRO Y PLAZA COMERCIAL,SANTA FE,1210.0
PMOTPANECOYYPACL2300.0,CENTRO Y PLAZA COMERCIAL,PREMIUM OUTLET PUNTA NORTE,2300.0
EOF6EOCLYYDESS1480.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO F6,1480.0
nnnn9206.0,,,9206.0
COCNCOYYPACLnan,CENTRO Y PLAZA COMERCIAL,CENTRO COYOACÁN,
nnnn1154.0,,,1154.0
nnEOCLYYDESS14710.0,EDIFICIO COMERCIAL Y DE SERVICIOS,,14710.0
COLACOYYPACL11250.0,CENTRO Y PLAZA COMERCIAL,CONJUNTO LEGARIA,11250.0
MODEMOMOPO6010.0,MERCADO PUBLICO,MERCADO DE MIXCALCO,6010.0
nnnn1321.0,,,1321.0
nnCOYYPACL14110.0,CENTRO Y PLAZA COMERCIAL,,14110.0
MO24DEDEMOPO8500.0,MERCADO PUBLICO,MERCADO 24 DE DICIEMBRE,8500.0
NOEOCLYYDESS3510.0,EDIFICIO COMERCIAL Y DE SERVICIOS,NINGUNO,3510.0
NOOOCO14390.0,OTRO CONGLOMERADO,NINGUNO,14390.0
MOCSMOPO9640.0,MERCADO PUBLICO,MERCADO CAQBRAS,9640.0
MOCNDEROFOMOPO8000.0,MERCADO PUBLICO,MERCADO CONCENTACION DE RIO FRIO,8000.0
MOEOZAMOPO7860.0,MERCADO PUBLICO,MERCADO EMILIANO ZAPATA,7860.0
OOCOSNNEOOCO12100.0,OTRO CONGLOMERADO,OTRO CONGLOMERADO SIN NOMBRE,12100.0
OOTODECOSNNEOOCO13020.0,OTRO CONGLOMERADO,OTRO TIPO DE CONGLOMERADO SIN NOMBRE,13020.0
TO23OOCO6000.0,OTRO CONGLOMERADO,TMOBO 23,6000.0
PSPANOPOCOYYPACL11320.0,CENTRO Y PLAZA COMERCIAL,PARQUES PLAZA  NUEVO POLANCO,11320.0
SNPOOCMOPO12400.0,MERCADO PUBLICO,SAN PABLO OZTOTEPEC,12400.0
ENDLMOGILAPEYYARCL6010.0,PASAJE Y ANDADOR COMERCIAL,ESTACION  DEL METRO GARIBALDI LAGUNILLA,6010.0
PA68COYYPACL6070.0,CENTRO Y PLAZA COMERCIAL,PLAZA 68,6070.0
PABAOOCO6350.0,OTRO CONGLOMERADO,PLAZA BUENAVISTA,6350.0
SAOOCO1210.0,OTRO CONGLOMERADO,SAMARA,1210.0
PEVOOOCO2940.0,OTRO CONGLOMERADO,PARQUE VALLEJO,2940.0
CAOOCO4940.0,OTRO CONGLOMERADO,COAPA,4940.0
PEOOCO4000.0,OTRO CONGLOMERADO,PASAJE,4000.0
CC19OOCO6700.0,OTRO CONGLOMERADO,CUAUHTEMOC 19,6700.0
DS85OOCO6000.0,OTRO CONGLOMERADO,DONCELES 85,6000.0
PAOOOOCO1210.0,OTRO CONGLOMERADO,PLAZA OBSERVATORIO,1210.0
PAIAOOCO14060.0,OTRO CONGLOMERADO,PLAZA INBURSA,14060.0
VAVOOOCO2340.0,OTRO CONGLOMERADO,VIA VALLEJO,2340.0
PACOCOYYPACL1150.0,CENTRO Y PLAZA COMERCIAL,PLAZA CANARIO,1150.0
PEDACOYYPACL3230.0,CENTRO Y PLAZA COMERCIAL,PARQUE DELTA,3230.0
COCL22COYYPACL6600.0,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL 222,6600.0
nnnn3776.0,,,3776.0
LLOOCO3650.0,OTRO CONGLOMERADO,LOCAL,3650.0
COHEEOCLYYDESS11000.0,EDIFICIO COMERCIAL Y DE SERVICIOS,CORPORATIVO HORIZONTE,11000.0
OSCNCOYYPACL4040.0,CENTRO Y PLAZA COMERCIAL,OASIS COYOACAN,4040.0
nnnn4122.0,,,4122.0
ELPNEOCLYYDESS5120.0,EDIFICIO COMERCIAL Y DE SERVICIOS,EL PANTALON,5120.0
TRCOEOCLYYDESS9530.0,EDIFICIO COMERCIAL Y DE SERVICIOS,TRUPER CORPORATIVO,9530.0
EXSNAOCOYYPACL1180.0,CENTRO Y PLAZA COMERCIAL,EXIHIBEX SAN ANTONIO,1180.0
TEMREOCLYYDESS1310.0,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE MAYOR,1310.0
AOEOCLYYDESSnan,EDIFICIO COMERCIAL Y DE SERVICIOS,ACERO,
OOTODECOSNNEOOCO8620.0,OTRO CONGLOMERADO,OTRO TIPO DE CONGLOMERADO SIN NOMBRE,8620.0
PAOOCOYYPACL1120.0,CENTRO Y PLAZA COMERCIAL,PLAZA OBSERVATORIO,1120.0
FYSOTADEMREOCLYYDESS6080.0,EDIFICIO COMERCIAL Y DE SERVICIOS,FRAY SERVANDO TERESA DE MIER,6080.0
nnnn1225.0,,,1225.0
nnnn55555.0,,,55555.0
TN18EOCLYYDESS6760.0,EDIFICIO COMERCIAL Y DE SERVICIOS,TUXPAN 18,6760.0
POASCOYYPACL5120.0,CENTRO Y PLAZA COMERCIAL,PASEO ARCOS,5120.0
PAAOCOYYPACL15540.0,CENTRO Y PLAZA COMERCIAL,PLAZA AEROPUERTO,15540.0
ASXOCOYYPACL9910.0,CENTRO Y PLAZA COMERCIAL,ANTENAS XOCHIMILCO,9910.0
PALSFSCOYYPACL2300.0,CENTRO Y PLAZA COMERCIAL,PLAZA LAS FUENTES,2300.0
PADECOYYPACL14330.0,CENTRO Y PLAZA COMERCIAL,PLAZA DIAMANTE,14330.0
POSAFECOYYPACL1219.0,CENTRO Y PLAZA COMERCIAL,PATIO SANTA FE,1219.0
PAPOCACOYYPACL2080.0,CENTRO Y PLAZA COMERCIAL,PLAZA PATIO CLAVERIA,2080.0
MEUYEOCLYYDESS6000.0,EDIFICIO COMERCIAL Y DE SERVICIOS,MEAVE URUGUAY,6000.0
SNNECOYYPACL4000.0,CENTRO Y PLAZA COMERCIAL,SIN NOMBRE,4000.0
SNNECOYYPACL6060.0,CENTRO Y PLAZA COMERCIAL,SIN NOMBRE,6060.0
PESSVMCOYYPACL2300.0,CENTRO Y PLAZA COMERCIAL,PRICE SHOES VALLEJOIHERNANDEZ@COLCHACONCORD.COM,2300.0
VOPECOYYPACL2300.0,CENTRO Y PLAZA COMERCIAL,VALLEJO PRICE,2300.0
CDMOEOCLYYDESS11510.0,EDIFICIO COMERCIAL Y DE SERVICIOS,CAD MEXICO,11510.0
GAISCOYYPACL3230.0,CENTRO Y PLAZA COMERCIAL,GALERÍA INSURGENTES,3230.0
PAOSCOYYPACL4310.0,CENTRO Y PLAZA COMERCIAL,PLAZA OASIS,4310.0
PEVAVOCOYYPACL2300.0,CENTRO Y PLAZA COMERCIAL,PARQUE VÍA VALLEJO,2300.0
nnPEYYARCL4460.0,PASAJE Y ANDADOR COMERCIAL,,4460.0
PELACOYYPACL7760.0,CENTRO Y PLAZA COMERCIAL,PARQUE LINDAVISTA ,7760.0
ARYYERCLSNNEPEYYARCL7480.0,PASAJE Y ANDADOR COMERCIAL,ANDADOR Y ENDADOR COMERCIAL SIN NOMBRE,7480.0
PAZACOYYPACL9420.0,CENTRO Y PLAZA COMERCIAL,PLAZA ZENTRALIA,9420.0
OO17OOCO3100.0,OTRO CONGLOMERADO,OSO 127,3100.0
PALAOOCO7300.0,OTRO CONGLOMERADO,PLAZA LINDAVISTA,7300.0
PALAJACOYYPACL14000.0,CENTRO Y PLAZA COMERCIAL,PLAZA LA JOYA,14000.0
TOCOCOYYPACL6000.0,CENTRO Y PLAZA COMERCIAL,TEKNO  CENTRO,6000.0
MOAOMOPO9410.0,MERCADO PUBLICO,MERCADO ACULCO,9410.0
ARSNNEPEYYARCL6200.0,PASAJE Y ANDADOR COMERCIAL,ANDADOR SIN NOMBRE,6200.0
UNRADECSMOPO7510.0,MERCADO PUBLICO,UNION REVOLUCIONARIA DE COMERCIANTES,7510.0
MDNEMRMOPO15810.0,MERCADO PUBLICO,MERCED NAVE MAYOR,15810.0
MO60TORAYYTSMOPO6200.0,MERCADO PUBLICO,MERCADO 60 TEPIO ROPA Y TELAS,6200.0
MO60TORAYYTSMOPO6200.0,MERCADO PUBLICO,MERCADO 60 TEPITO  ROPA  Y TELAS,6200.0
