ID Tipo Delito,delito,categoria,competencia
AODECADODEBOIOFOCN,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,FUERO COMUN
DOENPDAAILAACAHNDODEBOIOFOCN,DAÃO EN PROPIEDAD AJENA INTENCIONAL A CASA HABITACION,DELITO DE BAJO IMPACTO,FUERO COMUN
LSISPRAABADODEBOIOFOCN,LESIONES INTENCIONALES POR ARMA BLANCA,DELITO DE BAJO IMPACTO,FUERO COMUN
TADEENDODEBOIOFOCN,TENTATIVA DE EXTORSION,DELITO DE BAJO IMPACTO,FUERO COMUN
DODODEBOIOFOCN,DESPOJO,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAANOCNVAROAANOCNVAFOCN,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,FUERO COMUN
ROAANOSNVAPRFS(SDEA)DODEBOIOFOCN,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,FUERO COMUN
FEDODEBOIOFOCN,FRAUDE,DELITO DE BAJO IMPACTO,FUERO COMUN
LSISPRAADEFOLSDSPRDODEAADEFOIA,LESIONES INTENCIONALES POR ARMA DE FUEGO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,INCOMPETENCIA
FNOOANYYUOIODEDSDODEBOIOFOCN,FALSIFICACION O ALTERACION Y USO INDEBIDO DE DOCUMENTOS,DELITO DE BAJO IMPACTO,FUERO COMUN
CAIADODEBOIOFOCN,COBRANZA ILEGITIMA,DELITO DE BAJO IMPACTO,FUERO COMUN
LSCSDODEBOIOIA,LESIONES CULPOSAS,DELITO DE BAJO IMPACTO,INCOMPETENCIA
AOSLDODEBOIOFOCN,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEDODODEBOIOFOCN,ROBO DE DINERO,DELITO DE BAJO IMPACTO,FUERO COMUN
AEAALSVSGSDECNDODEBOIOFOCN,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÃN,DELITO DE BAJO IMPACTO,FUERO COMUN
LSCSPRCADEVOENMODODEBOIOFOCN,LESIONES CULPOSAS POR CAIDA DE VEHÃCULO EN MOVIMIENTO,DELITO DE BAJO IMPACTO,FUERO COMUN
LSCSDODEBOIOFOCN,LESIONES CULPOSAS,DELITO DE BAJO IMPACTO,FUERO COMUN
PADELAVAPRCAHONODOHONODO,PERDIDA DE LA VIDA POR CAIDA,HECHO NO DELICTIVO,HECHO NO DELICTIVO
TADEHODODEBOIOFOCN,TENTATIVA DE HOMICIDIO,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEPADEALDODEBOIOFOCN,ROBO DE PLACA DE AUTOMOVIL,DELITO DE BAJO IMPACTO,FUERO COMUN
UNDEIDDODEBOIOFOCN,USURPACIÃN DE IDENTIDAD,DELITO DE BAJO IMPACTO,FUERO COMUN
AODODEBOIOFOCN,ABORTO,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEOSDLIRDEUNVODODEBOIOFOCN,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,FUERO COMUN
EODODEBOIOFOCN,ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,FUERO COMUN
AOSLDODEBOIOFOCN,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,FUERO COMUN
DOENPDAACADODEBOIOFOCN,DAÃO EN PROPIEDAD AJENA CULPOSA,DELITO DE BAJO IMPACTO,FUERO COMUN
CAELCODELAONAADODEBOIOFOCN,CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA,DELITO DE BAJO IMPACTO,FUERO COMUN
DHSNDSHONODOHONODO,DDH SIN DATOS,HECHO NO DELICTIVO,HECHO NO DELICTIVO
"AODEM,D,OAOOEOMLDODEBOIOFOCN","ALLANAMIENTO DE MORADA, DESPACHO, OFICINA O ESTABLECIMIENTO MERCANTIL",DELITO DE BAJO IMPACTO,FUERO COMUN
ROAARRYYVOSNVAROAARRCNYYSNVAFOCN,ROBO A REPARTIDOR Y VEHICULO SIN VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,FUERO COMUN
LSISPRGSDODEBOIOFOCN,LESIONES INTENCIONALES POR GOLPES,DELITO DE BAJO IMPACTO,FUERO COMUN
DOENPDAAILDODEBOIOFOCN,DAÃO EN PROPIEDAD AJENA INTENCIONAL,DELITO DE BAJO IMPACTO,FUERO COMUN
LSCSPRQSDODEBOIOFOCN,LESIONES CULPOSAS POR QUEMADURAS,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEMASNVARODEVOCNYYSNVAIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,INCOMPETENCIA
RODEDSDODEBOIOFOCN,ROBO DE DOCUMENTOS,DELITO DE BAJO IMPACTO,FUERO COMUN
HOPRAABAHODOIA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO DOLOSO,INCOMPETENCIA
VAFRDODEBOIOIA,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,INCOMPETENCIA
"ROSVDODEN,A,CADODEBOIOFOCN","ROBO S/V DENTRO DE NEGOCIOS, AUTOSERVICIOS, CONVENIENCIA",DELITO DE BAJO IMPACTO,FUERO COMUN
EODODEBOIOFOCN,ESTUPRO,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAAPOAABODEPOCOSNVAROAAPOAABODEMSCNYYSNVAFOCN,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,FUERO COMUN
HOCOPRTOVR()DODEBOIOFOCN,HOMICIDIO CULPOSO POR TRÃNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,FUERO COMUN
FDAEASDODEBOIOFOCN,FALSEDAD ANTE AUTORIDADES,DELITO DE BAJO IMPACTO,FUERO COMUN
HOPRAABAHODOFOCN,HOMICIDIO POR ARMA BLANCA,HOMICIDIO DOLOSO,FUERO COMUN
DNDODEBOIOFOCN,DISCRIMINACION,DELITO DE BAJO IMPACTO,FUERO COMUN
VNVNFOCN,VIOLACION,VIOLACIÃN,FUERO COMUN
DAYYRADEPSDODEBOIOFOCN,DESOBEDIENCIA Y RESISTENCIA DE PARTICULARES,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAAPOAABODEMSSNVADODEBOIOFOCN,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEFSDODEBOIOFOCN,ROBO DE FLUIDOS,DELITO DE BAJO IMPACTO,FUERO COMUN
CALAIDSLDODEBOIOFOCN,CONTRA LA INTIMIDAD SEXUAL,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEMASNVARODEVOCNYYSNVAFOCN,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,FUERO COMUN
LSISDODEBOIOFOCN,LESIONES INTENCIONALES,DELITO DE BAJO IMPACTO,FUERO COMUN
CNDEPSMSDEEDOOPSQENOTNCDPACRELSODLHOOODEPSQENOTNCDDERRLACADODEBOIOFOCN,CORRUPCIÃN DE PERSONAS MENORES DE EDAD O PERSONAS QUE NO TENGAN CAPACIDAD PARA COMPRENDER EL SIGNIFICADO DEL HECHO O DE PERSONAS QUE NO TENGAN CAPACIDAD DE RESISTIR LA CONDUCTA,DELITO DE BAJO IMPACTO,FUERO COMUN
HOPRAADEFOHODOFOCN,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO DOLOSO,FUERO COMUN
ASDODEBOIOIA,AMENAZAS,DELITO DE BAJO IMPACTO,INCOMPETENCIA
ROAATEENVAPASNVAROAATEENVAPACNYYSNVAFOCN,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,FUERO COMUN
HOPRGSHODOIA,HOMICIDIO POR GOLPES,HOMICIDIO DOLOSO,INCOMPETENCIA
RDPLYYTADODEBOIOFOCN,RESPONSABILIDAD PROFESIONAL Y TECNICA,DELITO DE BAJO IMPACTO,FUERO COMUN
RNDEMSDODEBOIOFOCN,RETENCIÃN DE MENORES,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAATEENNOCNVADODEBOIOFOCN,ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEASDODEBOIOFOCN,ROBO DE ANIMALES,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAANOSNVADODEBOIOFOCN,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAAPOAABODEPOCOCNVAROAAPOAABODEMSCNYYSNVAFOCN,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,FUERO COMUN
ROAAPOAABODEMOSNVAROAAPOAABODLMOCNYYSNVAFOCN,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,FUERO COMUN
NOPNSEDODEBOIOFOCN,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,FUERO COMUN
ENDODEBOIOFOCN,EXTORSION,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAATEAABODETIPOYYPOCNVAROAAPOAABODETICNVAFOCN,ROBO A TRANSEUNTE A BORDO DE TAXI PÃBLICO Y PRIVADO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,FUERO COMUN
RODEOSAAEADODEBOIOFOCN,ROBO DE OBJETOS A ESCUELA,DELITO DE BAJO IMPACTO,FUERO COMUN
PADELAVAPRSOHONODOHONODO,PERDIDA DE LA VIDA POR SUICIDIO,HECHO NO DELICTIVO,HECHO NO DELICTIVO
ROAATEENPSYYMSCNVADODEBOIOFOCN,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEVODEPSDODEBOIOFOCN,ROBO DE VEHICULO DE PEDALES,DELITO DE BAJO IMPACTO,FUERO COMUN
LSCSPRTOVRENCNDODEBOIOIA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,INCOMPETENCIA
ONDEAOOODECODODEBOIOFOCN,OMISION DE AUXILIO O DE CUIDADO,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAANOSNVAPRFSDODEBOIOFOCN,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,FUERO COMUN
"NOPNCNFSDEV,COYYSODODEBOIOFOCN","NARCOMENUDEO POSESIÃN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,FUERO COMUN
RNDESSDODEBOIOFOCN,REVELACION DE SECRETOS,DELITO DE BAJO IMPACTO,FUERO COMUN
SNDEMSDODEBOIOFOCN,SUSTRACCIÃN DE MENORES,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAAPO//CRDEVOCNVADODEBOIOFOCN,ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
QODESSDODEBOIOFOCN,QUEBRANTAMIENTO DE SELLOS,DELITO DE BAJO IMPACTO,FUERO COMUN
VNTAEAVNFOCN,VIOLACION TUMULTUARIA EQUIPARADA,VIOLACIÃN,FUERO COMUN
DHOOCNHONODOHONODO,DDH OFICIO COLABORACION,HECHO NO DELICTIVO,HECHO NO DELICTIVO
DHRSHONODOHONODO,DDH REDES,HECHO NO DELICTIVO,HECHO NO DELICTIVO
LAANDEJADODEBOIOFOCN,LA ADMINISTRACION DE JUSTICIA,DELITO DE BAJO IMPACTO,FUERO COMUN
AODECADODEBOIOIA,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,INCOMPETENCIA
SNDEMSDODEBOIOIA,SUSTRACCIÃN DE MENORES,DELITO DE BAJO IMPACTO,INCOMPETENCIA
ROAAPOENRPSNVADODEBOIOFOCN,ROBO A PASAJERO EN RTP SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
DHFTHONODOHONODO,DDH FRVT,HECHO NO DELICTIVO,HECHO NO DELICTIVO
LSCSPRCADODEBOIOFOCN,LESIONES CULPOSAS POR CAIDA,DELITO DE BAJO IMPACTO,FUERO COMUN
VNTAVNFOCN,VIOLACION TUMULTUARIA,VIOLACIÃN,FUERO COMUN
UNDEPNDODEBOIOFOCN,USURPACION DE PROFESION,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAANOSNVAPRFS(SDEC)DODEBOIOFOCN,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE CONVENIENCIA),DELITO DE BAJO IMPACTO,FUERO COMUN
VNEAVNIA,VIOLACION EQUIPARADA,VIOLACIÃN,INCOMPETENCIA
PNDELALDPLDODEBOIOFOCN,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAATESODLCOCNVAROAACESODLCOCNVAFOCN,ROBO A TRANSEUNTE SALIENDO DEL CAJERO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,FUERO COMUN
DOENPDAAILAANODODEBOIOFOCN,DAÃO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO,DELITO DE BAJO IMPACTO,FUERO COMUN
NNDLSOPODODEBOIOFOCN,NEGACION DEL SERVICIO PUBLICO,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEVODESOPRSNVARODEVOCNYYSNVAIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,INCOMPETENCIA
VNVNIA,VIOLACION,VIOLACIÃN,INCOMPETENCIA
EOILYYAODLSOPODODEBOIOFOCN,EJERCICIO ILEGAL Y ABANDONO DEL SERVICIO PUBLICO,DELITO DE BAJO IMPACTO,FUERO COMUN
DHOSMSHONODOHONODO,DDH OTRAS MATERIAS,HECHO NO DELICTIVO,HECHO NO DELICTIVO
ROAARRYYVOCNVAROAARRCNYYSNVAFOCN,ROBO A REPARTIDOR Y VEHICULO CON VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,FUERO COMUN
DOENPDAAILAABSISDODEBOIOFOCN,DAÃO EN PROPIEDAD AJENA INTENCIONAL A BIENES INMUEBLES,DELITO DE BAJO IMPACTO,FUERO COMUN
TADODEBOIOFOCN,TORTURA,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAARRCNVAROAARRCNYYSNVAFOCN,ROBO A REPARTIDOR CON VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,FUERO COMUN
RODEVODESOPRCNVARODEVOCNYYSNVAIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,INCOMPETENCIA
RODEMACNVARODEVOCNYYSNVAFOCN,ROBO DE MOTOCICLETA CON VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,FUERO COMUN
ROAATEENRTCNVADODEBOIOFOCN,ROBO A TRANSEUNTE EN RESTAURANT CON VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
AOSLAOENCADEMSDODEBOIOFOCN,ACOSO SEXUAL AGRAVADO EN CONTRA DE MENORES,DELITO DE BAJO IMPACTO,FUERO COMUN
TADEENDODEBOIOIA,TENTATIVA DE EXTORSION,DELITO DE BAJO IMPACTO,INCOMPETENCIA
MOALDODEBOIOFOCN,MALTRATO ANIMAL,DELITO DE BAJO IMPACTO,FUERO COMUN
PADELAVAPRQAHONODOHONODO,PERDIDA DE LA VIDA POR QUEMADURA,HECHO NO DELICTIVO,HECHO NO DELICTIVO
TADODEBOIOFOCN,TALA,DELITO DE BAJO IMPACTO,FUERO COMUN
AEAALSVSDECN(OAAVSOOMSDET)DODEBOIOFOCN,ATAQUE A LAS VIAS DE COMUNICACION (DAÃO A VIAS O MEDIOS DE TRANSPORTE),DELITO DE BAJO IMPACTO,FUERO COMUN
DSDEAADEFODODEBOIOFOCN,DISPAROS DE ARMA DE FUEGO,DELITO DE BAJO IMPACTO,FUERO COMUN
FEDODEBOIOIA,FRAUDE,DELITO DE BAJO IMPACTO,INCOMPETENCIA
ROAACAHNCNVAROAACAHNCNVAFOCN,ROBO A CASA HABITACION CON VIOLENCIA,ROBO A CASA HABITACIÃN CON VIOLENCIA,FUERO COMUN
ROAATESODLBOCNVAROAACESODLCOCNVAFOCN,ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,FUERO COMUN
DOENPDAACAPRTOVRAABSISDODEBOIOFOCN,DAÃO EN PROPIEDAD AJENA CULPOSA POR TRÃNSITO VEHICULAR A BIENES INMUEBLES,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAAPOENTSSNVADODEBOIOFOCN,ROBO A PASAJERO EN TROLEBUS SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAAPOAABODETEPOSNVADODEBOIOFOCN,ROBO A PASAJERO A BORDO DE TRANSPORTE PÃBLICO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
AOSLDODEBOIOIA,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INCOMPETENCIA
DHASHONODOHONODO,DDH ANONIMAS,HECHO NO DELICTIVO,HECHO NO DELICTIVO
PADELAVAPRPOCOHONODOHONODO,PERDIDA DE LA VIDA POR PARO CARDIACO,HECHO NO DELICTIVO,HECHO NO DELICTIVO
ROAAPOAABODETEPOCNVADODEBOIOIA,ROBO A PASAJERO A BORDO DE TRANSPORTE PÃBLICO CON VIOLENCIA,DELITO DE BAJO IMPACTO,INCOMPETENCIA
ROAAPOENTNLOSNVADODEBOIOFOCN,ROBO A PASAJERO EN TREN LIGERO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAAOAPASNVADODEBOIOFOCN,ROBO A OFICINA PÃBLICA SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
"DSDEA,P,LSYYASJSDODEBOIOFOCN","DELITOS DE ABOGADOS, PATRONOS, LITIGANTES Y ASESORES JURIDICOS",DELITO DE BAJO IMPACTO,FUERO COMUN
CODEUODESODODEBOIOFOCN,CAMBIO DE USO DE SUELO,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAATEAABODETIPOYYPOSNVADODEBOIOFOCN,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
UNDEIDDODEBOIOIA,USURPACIÃN DE IDENTIDAD,DELITO DE BAJO IMPACTO,INCOMPETENCIA
LSISPRGSDODEBOIOIA,LESIONES INTENCIONALES POR GOLPES,DELITO DE BAJO IMPACTO,INCOMPETENCIA
PADELAVAPRPNHONODOHONODO,PERDIDA DE LA VIDA POR PRECIPITACION,HECHO NO DELICTIVO,HECHO NO DELICTIVO
INDODEBOIOFOCN,INTIMIDACION,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAARRCNVAROAARRCNYYSNVAIA,ROBO A REPARTIDOR CON VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,INCOMPETENCIA
ROAAPOENTNSOSNVADODEBOIOFOCN,ROBO A PASAJERO EN TREN SUBURBANO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
RODEOSDODEBOIOIA,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,INCOMPETENCIA
"ROAALSSS(SDEA,E,P,O)DODEBOIOFOCN","ROBO A LOCALES SEMIFIJOS (PUESTOS DE ALIMENTOS,BEBIDAS, ENSERES, PERIODICOS,LOTERIA, OTROS)",DELITO DE BAJO IMPACTO,FUERO COMUN
ROAAPOAABODEMOSNVAROAAPOAABODLMOCNYYSNVAIA,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,INCOMPETENCIA
RODEVODESOPOCNVARODEVOCNYYSNVAFOCN,ROBO DE VEHICULO DE SERVICIO PÃBLICO CON VIOLENCIA,ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,FUERO COMUN
"RODEVOENP,TRYYASCVRODEVOCNYYSNVAFOCN","ROBO DE VEHICULO EN PENSION, TALLER Y AGENCIAS C/V",ROBO DE VEHÃCULO CON Y SIN VIOLENCIA,FUERO COMUN
HOCOPRTOVRDODEBOIOFOCN,HOMICIDIO CULPOSO POR TRÃNSITO VEHICULAR,DELITO DE BAJO IMPACTO,FUERO COMUN
TADERODODEBOIOFOCN,TENTATIVA DE ROBO,DELITO DE BAJO IMPACTO,FUERO COMUN
"ROENESMS(,C,RSYYA)SVDODEBOIOFOCN","ROBO EN EVENTOS MASIVOS (DEPORTIVOS, CULTURALES, RELIGIOSOS Y ARTISTICOS) S/V",DELITO DE BAJO IMPACTO,FUERO COMUN
RODEAADODEBOIOFOCN,ROBO DE ARMA,DELITO DE BAJO IMPACTO,FUERO COMUN
DADEPSDODEBOIOFOCN,DESOBEDENCIA DE PARTICULARES,DELITO DE BAJO IMPACTO,FUERO COMUN
VNEAPRCOVNFOCN,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÃN,FUERO COMUN
EAIADEUNMRDODEBOIOFOCN,ENTREGA ILEGITIMA DE UN MENOR,DELITO DE BAJO IMPACTO,FUERO COMUN
FOHODOFOCN,FEMINICIDIO,HOMICIDIO DOLOSO,FUERO COMUN
OSCNRSDEPAIADODEBOIOFOCN,OPERACIONES CON RECURSOS DE PROCEDENCIA ILICITA,DELITO DE BAJO IMPACTO,FUERO COMUN
ROAATEENVAPACNVAROAATEENVAPACNYYSNVAIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÃA PÃBLICA CON Y SIN VIOLENCIA,INCOMPETENCIA
HOCOPRTOVR()DODEBOIOFOCN,HOMICIDIO CULPOSO POR TRÃNSITO VEHICULAR (CAIDA),DELITO DE BAJO IMPACTO,FUERO COMUN
UOIODEASYYFSDODEBOIOFOCN,USO INDEBIDO DE ATRIBUCIONES Y FACULTADES,DELITO DE BAJO IMPACTO,FUERO COMUN
HOCOFADLDF()DODEBOIOIA,HOMICIDIO CULPOSO FUERA DEL D.F (COLISION),DELITO DE BAJO IMPACTO,INCOMPETENCIA
TADEHODODEBOIOIA,TENTATIVA DE HOMICIDIO,DELITO DE BAJO IMPACTO,INCOMPETENCIA
ROAATECRDETIPOYYPOCNVADODEBOIOFOCN,ROBO A TRANSEUNTE CONDUCTOR DE TAXI PUBLICO Y PRIVADO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FUERO COMUN
VNDENEOODODODEBOIOFOCN,VARIACION DE NOMBRE O DOMICILIO,DELITO DE BAJO IMPACTO,FUERO COMUN
DHRSHONODOHONODO,DDH RELACIONADAS,HECHO NO DELICTIVO,HECHO NO DELICTIVO
LSCSPRTOVRDODEBOIOIA,LESIONES CULPOSAS POR TRANSITO VEHICULAR,DELITO DE BAJO IMPACTO,INCOMPETENCIA
PADELAVAPRINHONODOHONODO,PERDIDA DE LA VIDA POR INTOXICACION,HECHO NO DELICTIVO,HECHO NO DELICTIVO
