id,clee,nom_estab,raz_social,codigo_act,telefono,correoelec,latitud,longitud,fecha_alta,ID Centro comercial,ID Municipio
6781864,09007462112002912000008202S4,OXXO SUC 50SXN ABASTO II MEX,CADENA COMERCIAL OXXO SA DE CV,462112,,ATENCIONCLIENTES@OXXO.COM,19.3736838,-99.09475649,2017-03,nnnn9040.0,9007
6199512,09005541990000051000000000U1,FETOVI,FETOVI SC,541990,5553471210,,19.471179,-99.1243865,2012-06,nnnn7800.0,9005
1030449,09015467111003131000000000U0,DISTRIBUIDORA DEL PLOMERO PQ,,467111,,DISTRIBUIDORADELPLOMEROPQ@HOTMAIL.COM,19.43093058,-99.14656557,2010-07,nnnn6070.0,9015
911452,09003465311007221000000000U9,PAPELERIA E INTERNET LA GOMITA,,465311,,,19.31478188,-99.15601293,2014-12,nnnn4300.0,9003
1039600,09010811111004961000000000U3,VIVA CAR AUTOMOTRIZ,VIVA CAR SA DE CV,811111,,,19.34045893,-99.26226047,2010-07,nnnn1780.0,9010
776540,09017461150002281000000000U4,CREMERIA Y SALCHICHONERIA,,461150,5555222761.0,,19.4256594,-99.12327232,2010-07,nnnn15810.0,9017
1052804,09010464111002211000000000U5,FARMACIAS SIMILARES,GRUPO KAPA GAME SA DE CV,464111,5530955586.0,,19.36659,-99.20036603,2010-07,nnnn1600.0,9010
721472,09007461130055691000000000U3,RECAUDERIA LA CHIQUITA,,461130,,,19.36260604,-99.08644665,2014-12,nnnn9000.0,9007
6876585,09015722412003756001016892S7,MCCARTHYS LA ROMA,FREE AND GREEN SA DE CV,722511,,JCONTABILIDAD.DAF@FREEANDGREEN.MX,19.41422416,-99.16359331,2019-04,nnnn6700.0,9015
7216359,09017463211015651000000000U1,COMPRA Y VENTA DE BOLSAS Y DELANTALES,,463211,,,19.42768223,-99.12063082,2019-11,PASNCNOOCO15100.0,9017
9176944,09010463112000401000000000U3,COJINES CANDOR,,463112,,,19.34487266,-99.19256002,2019-11,nnnn1000.0,9010
